namespace,name,func,author,scope,usage,description,parameters
conditions - queries you may call from campaign script,UnusedInternationalTradeRoute,008A6550,Paul,,UnusedInternationalTradeRoute(),Could the faction establish a new international trade route?,none
conditions - queries you may call from campaign script,WarEndedCharacterFaction,008A6650,Luke,,WarEndedCharacterFaction(),Was peace declared between this faction and another faction this turn?,""
conditions - queries you may call from campaign script,WarStartedCharacterFaction,008A66C0,Luke,,WarStartedCharacterFaction(),Did a war start between this faction and another faction this turn?,""
conditions - queries you may call from campaign script,WorldResourceExists,008A6730,Paul,,"WorldResourceExists(""res_gold"")",Returns whether the resource exists anywhere,Valid entry from 'key' field from resources table in Empire.mdb
conditions - queries you may call from campaign script,WorldResourceExploited,008A68A0,Paul,,"WorldResourceExploited(""res_gold"")",Returns whether the resource is produced by any faction,Valid entry from 'key' field from resources table in Empire.mdb
conditions - queries you may call from campaign script,WorldwideAncillaryTypeExists,008A6A20,Tom,,"WorldwideAncillaryTypeExists(""unkillable_cat"") == true",Returns whether the named ancillary exists in the world somewhere,Ancillary name
conditions - queries you may call from campaign script,WouldRebellionInRegionBeRevolution,008A6B00,Alan,,WouldRebellionBeRevolutionInRegion(),Would a rebellion here be revolution?,none
events - callback lists you may append handlers to,AdviceDismissed,0130C37C,,Advice thread,,Advice has been dismissed by the UI,""
events - callback lists you may append handlers to,AdviceFinishedTrigger,013509DC,,Sound,,Notify scripters when current advice has finished playing,""
events - callback lists you may append handlers to,AdviceIssued,0130C37C,,Advice thread,,Advice has been sent to the UI,""
events - callback lists you may append handlers to,AdviceSuperseded,01353338,,Advice thread,,Advice has been superseded by another advice,""
events - callback lists you may append handlers to,ArmySabotageAttemptSuccess,01351E1C,,Character,,A character has successfully sabotaged an enemy army,""
events - callback lists you may append handlers to,AssassinationAttemptSuccess,013512AC,,Character,,An agent has successfully assassinated an enemy,""
events - callback lists you may append handlers to,BattleBoardingActionCommenced,0131EC08,,Battle,,Fired each time a ship commences the boarding of an enemy vessel,""
events - callback lists you may append handlers to,BattleBoardingShip,0131EC08,,Battle,,Gets triggered when the order to board a ship is issued,""
events - callback lists you may append handlers to,BattleCommandingUnitRouts,0131EC08,,Land Battle,,Fires off an event for when a unit that has a commanding general attached to it routs,""
events - callback lists you may append handlers to,BattleCompleted,01351E1C,,Campaign model,,A battle has been completed on the campaign map,""
events - callback lists you may append handlers to,BattleConflictPhaseCommenced,0131EC08,,Battle,,Fired once at the start of conflict,""
events - callback lists you may append handlers to,BattleDeploymentPhaseCommenced,0131EC08,,Battle,,Fired once at the start of deployment,""
events - callback lists you may append handlers to,BattleFortPlazaCaptureCommenced,0131EC08,,Battle,,Fired each time an attacking unit starts capturing the victory location inside a fort,""
events - callback lists you may append handlers to,BattleShipAttacksEnemyShip,0131EC08,,Battle,,Gets fired off for every attack order executed by a ship,""
events - callback lists you may append handlers to,BattleShipCaughtFire,0131EC08,,Battle,,A ship just caught fire,""
events - callback lists you may append handlers to,BattleShipMagazineExplosion,0131EC08,,Battle,,Fired off when a ship explodes,""
events - callback lists you may append handlers to,BattleShipRouts,0131EC08,,Naval Battle,,Fires off whenever a ship enters the rout state of morale,""
events - callback lists you may append handlers to,BattleShipRunAground,0131EC08,,Naval Battle,,Fired off when a ship collides with the terrain,""
events - callback lists you may append handlers to,BattleShipSailingIntoWind,0131EC08,,Naval Battle,,Fired off when a ship is sailing approximately into the wind,""
events - callback lists you may append handlers to,BattleShipSurrendered,0131EC08,,Naval Battle,,Fired off when a ship surrenders,""
events - callback lists you may append handlers to,BattleUnitAttacksBuilding,0131EC08,,Battle,,Gets fired off for every attack order executed by a unit,""
events - callback lists you may append handlers to,BattleUnitAttacksEnemyUnit,0131EC08,,Battle,,Gets fired off for every attack order executed by a unit,""
events - callback lists you may append handlers to,BattleUnitAttacksWalls,0131EC08,,Battle,,Gets fired off for every attack order executed by a unit when attacking a fort building,""
events - callback lists you may append handlers to,BattleUnitCapturesBuilding,0131EC08,,Battle,,"Gets fired each time a building has a new alliance as an owner, initiated by a unit",""
events - callback lists you may append handlers to,BattleUnitDestroysBuilding,0131EC08,,Battle,,Gets fired each time a building gets destroyed by a unit,""
events - callback lists you may append handlers to,BattleUnitRouts,0131EC08,,Land Battle,,Fires off an event for when a unit enters rout.,""
events - callback lists you may append handlers to,BattleUnitUsingBuilding,0131EC08,,Battle,,Fires off when a unit enters a building,""
events - callback lists you may append handlers to,BattleUnitUsingWall,0131EC08,,Battle,,Fires off when a unit attaches itself to a wall,""
events - callback lists you may append handlers to,BuildingCardSelected,01353F38,,String (building record key),,Fires when a building card is clicked on on the hud,""
events - callback lists you may append handlers to,BuildingCompleted,013512AC,,"Building level record, Character",,A building has been completed,""
events - callback lists you may append handlers to,BuildingConstructionIssuedByPlayer,01353338,,building level,,Fired when the player selects adds a building to the queue,""
events - callback lists you may append handlers to,BuildingInfoPanelOpenedCampaign,013929B8,,string,,triggers when the building info panel is opened by the user in the campaign game,""
events - callback lists you may append handlers to,CameraMoverCancelled,01350B10,,MAP_LOCATION,,When the camera controller is cancelled before completion,""
events - callback lists you may append handlers to,CameraMoverFinished,01353338,,MAP_LOCATION,,"When the camera reaches the end of its path, or when another camera transition cuts in",""
events - callback lists you may append handlers to,CampaignArmiesMerge,01351E1C,,"Character, character target",,Two campaign armies merge,""
events - callback lists you may append handlers to,CampaignBuildingDamaged,01351E1C,,Region slot,,A building is damaged,""
events - callback lists you may append handlers to,CampaignSettlementAttacked,01351E1C,,Settlement,,A settlement has been attacked,""
events - callback lists you may append handlers to,CampaignSlotAttacked,01351E1C,,Region slot,,A slot has been attacked,""
events - callback lists you may append handlers to,CharacterAttacksAlly,013512AC,,Character,,A character has attacked an ally,""
events - callback lists you may append handlers to,CharacterBlockadedPort,01350B10,,Character,,A character successfully blockades a port,""
events - callback lists you may append handlers to,CharacterBrokePortBlockade,01350B10,,Character,,A character successfully broke a port blockade,""
events - callback lists you may append handlers to,CharacterBuildsSpyNetwork,01350B10,,Character,,A character builds a spy network,""
events - callback lists you may append handlers to,CharacterCanLiberate,01350B10,,Character,,A character was given the opportunity to liberate a region,""
events - callback lists you may append handlers to,CharacterCandidateBecomesMinister,01350B10,,Character,,Fired when a candidate becomes a minister,""
events - callback lists you may append handlers to,CharacterCompletedBattle,01351E1C,,Character,,A character took part in a battle and didn't die,""
events - callback lists you may append handlers to,CharacterCreated,01353F38,,Character,,Fired when a character is created,""
events - callback lists you may append handlers to,CharacterCriticallyFailsAssassination,01351E1C,,Character,,A character critically fails an assassination attempt (and dies),""
events - callback lists you may append handlers to,CharacterDisembarksNavy,01351E1C,,Character,,A character disembarks a navy,""
events - callback lists you may append handlers to,CharacterEmbarksNavy,01351E1C,,Character,,A character embarks on a navy,""
events - callback lists you may append handlers to,CharacterEntersAttritionalArea,01350B10,,Character,,Fired when a characters ends its movement in a position where it will suffer attrition,""
events - callback lists you may append handlers to,CharacterEntersGarrison,01351E1C,,"Garrison, Character",,"A character enters a garrison (settlement, slot or fort)",""
events - callback lists you may append handlers to,CharacterFactionCompletesResearch,01350B10,,"Technology record, Character",,A character belonging to the faction has completed some research,""
events - callback lists you may append handlers to,CharacterFactionSpyAttemptSuccessful,01350B10,,Character,,A character belonging to the faction of this faction leader has successfully spied on an enemy,""
events - callback lists you may append handlers to,CharacterFactionSuffersSuccessfulSpyAttempt,01350B10,,Character,,The capital of the faction of this faction leader was successfully spied on by an enemy,""
events - callback lists you may append handlers to,CharacterInfoPanelOpened,01367F9C,,"character, faction",,triggers the character information panel has been opened,""
events - callback lists you may append handlers to,CharacterLootedSettlement,01351E1C,,Character,,A character loots a settlement,""
events - callback lists you may append handlers to,CharacterPromoted,013512AC,,Character,,A character has been promoted,""
events - callback lists you may append handlers to,CharacterSelected,01351E1C,,Character,,Fired when a character is selected,""
events - callback lists you may append handlers to,CharacterTurnEnd,01353F38,,Character,,Fired for every character at the start of their turn,""
events - callback lists you may append handlers to,CharacterTurnStart,01353F38,,Character,,Fired for every character at the start of their turn,""
events - callback lists you may append handlers to,ComponentLClickUp,01353F38,,"String (ComponentType condition), Component",,Triggered when a user clicks on any component,""
events - callback lists you may append handlers to,CustomMission,01353338,,Cannot be used in LUA,,Internal event: does not fire and cannot be used in the script,""
events - callback lists you may append handlers to,DuelFought,013512AC,,Character,,A duel has completed,""
events - callback lists you may append handlers to,EspionageAgentApprehended,013512AC,,Character,,A character has foiled an espionage attempt,""
events - callback lists you may append handlers to,EventMessageOpenedBattle,01367F9C,,string (event name),,triggers when a dropdown message is opened by the user,""
events - callback lists you may append handlers to,EventMessageOpenedCampaign,01367F9C,,string (event name),,triggers when a dropdown message is opened by the user,""
events - callback lists you may append handlers to,FactionBecomesLiberationProtectorate,01350B10,,Faction,,A faction has liberated another faction,""
events - callback lists you may append handlers to,FactionGovernmentTypeChanged,013512AC,,Faction,,The factions government type has changed,""
events - callback lists you may append handlers to,FactionRoundStart,013512AC,,Faction,,Faction starts the round,""
events - callback lists you may append handlers to,FactionTurnEnd,01351E1C,,Faction,,Faction ends it's turn,""
events - callback lists you may append handlers to,FactionTurnStart,01351E1C,,Faction,,Faction starts it's turn,""
events - callback lists you may append handlers to,FortSelected,01353F38,,Fort,,Fired when the player selects a fort on the map,""
events - callback lists you may append handlers to,GarrisonResidenceCaptured,0130C37C,,Garrison residence,,"A garrison residence (settlement, fort, port &c.) has been captured",""
events - callback lists you may append handlers to,GovernorshipTaxRateChanged,01351E1C,,Governorship,,A tax rate in a governorship has changed,""
events - callback lists you may append handlers to,HarassmentAttemptSuccess,01351E1C,,Character,,A character has successfully harrassed an enemy army,""
events - callback lists you may append handlers to,HistoricalCharacters,01350B10,,List of possible historical characters,,,""
events - callback lists you may append handlers to,HistoricalEvents,01350B10,,List of possible historical events,,,""
events - callback lists you may append handlers to,HudRefresh,01392E34,,Empty string,,triggers when the HUD is reconstructed,""
events - callback lists you may append handlers to,IncomingMessage,01367F9C,,string (event name),,triggers when a dropdown message first starts falling down the screen,""
events - callback lists you may append handlers to,LandTradeRouteRaided,013512AC,,"Character, Position",,A character has raided a land trade route,""
events - callback lists you may append handlers to,LoadingGame,01353338,,FileHandle,,A game is being loaded,""
events - callback lists you may append handlers to,LocationEntered,01353338,,"MAP_LOCATION, the piece that entered",,"When a piece enters a location trigger, fire ony once per trigger",""
events - callback lists you may append handlers to,LocationUnveiled,01353338,,"MAP_LOCATION, the piece that unveiled the area",,When the location becomes visible for the first time,""
events - callback lists you may append handlers to,MissionFailed,0130C37C,,"Mission, mission manager, faction of mission manager, campaign model",,The player has failed a mission,""
events - callback lists you may append handlers to,MissionIssued,0130C37C,,"Mission, mission manager, faction of mission manager, campaign model",,A mission has been issued to the player,""
events - callback lists you may append handlers to,MissionNearingExpiry,0130C37C,,"Mission, mission manager, faction of mission manager, campaign model",,A mission only has a quarter of its time left before its too late to complete it,""
events - callback lists you may append handlers to,MissionSucceeded,0130C37C,,"Mission, mission manager, faction of mission manager, campaign model",,A mission has been successfully completed,""
events - callback lists you may append handlers to,ModelCreated,01350B10,,none,,"A game is being started or loaded, at this point the most vital parts pf the game are initialized",""
events - callback lists you may append handlers to,MovementPointsExhausted,01351E1C,,Character,,A general can move no more,""
events - callback lists you may append handlers to,MultiTurnMove,013512AC,,Character,,A character has been issued a movement that will take more than one turn,""
events - callback lists you may append handlers to,NewCampaignStarted,013111B8,,none,,"A new campaign game is being started - called exactly once during a campaign, when it is created for the first time - NOT called when loading, NOT called when processing startpos",""
events - callback lists you may append handlers to,NewSession,01353338,,model access,,"A game is being started, could be a new game or loading a save game",""
events - callback lists you may append handlers to,PanelAdviceRequestedBattle,01367F9C,,string,,triggers when the user clicks on the request advice button on a panel in battle,""
events - callback lists you may append handlers to,PanelAdviceRequestedCampaign,01367F9C,,string,,triggers when the user clicks on the request advice button on a panel in the campaign game,""
events - callback lists you may append handlers to,PanelClosedBattle,01367F9C,,string,,triggers when a ui panel is closed by the user in battle,""
events - callback lists you may append handlers to,PanelClosedCampaign,01367F9C,,string,,triggers when a ui panel is closed by the user in the campaign game,""
events - callback lists you may append handlers to,PanelOpenedBattle,01367F9C,,string,,triggers when a ui panel is opened by the user in battle,""
events - callback lists you may append handlers to,PanelOpenedCampaign,01367F9C,,string,,triggers when a ui panel is opened by the user in the campaign game,""
events - callback lists you may append handlers to,PendingBankruptcy,01350B10,,Faction,,The faction is about to go bankrupt,""
events - callback lists you may append handlers to,RecruitmentItemIssuedByPlayer,01353338,,unit record,,Fired when the player selects adds a unit to the queue,""
events - callback lists you may append handlers to,RegionIssuesDemands,013512AC,,Region,,This region has issued demands,""
events - callback lists you may append handlers to,RegionRebels,013512AC,,Region,,This region has started rebelling,""
events - callback lists you may append handlers to,RegionRiots,013512AC,,Region,,This region has started riots,""
events - callback lists you may append handlers to,RegionStrikes,01351E1C,,Region,,This region has started striking,""
events - callback lists you may append handlers to,RegionTurnEnd,01351E1C,,Region,,Region ends it's turn,""
events - callback lists you may append handlers to,RegionTurnStart,01351E1C,,Region,,Region starts it's turn,""
events - callback lists you may append handlers to,ResearchCompleted,013512AC,,"Technology record, Character",,Research has been completed in this slot,""
events - callback lists you may append handlers to,SabotageAttemptSuccess,013512AC,,Character,,A character has successfully sabotaged the enemy,""
events - callback lists you may append handlers to,SavingGame,01353338,,FileHandle,,A game is being saveed,""
events - callback lists you may append handlers to,SeaTradeRouteRaided,013512AC,,"Character, Position",,A character has raided a sea trade route,""
events - callback lists you may append handlers to,SettlementOccupied,01351E1C,,Settlement,,A settlement is occupied by an enemy faction,""
events - callback lists you may append handlers to,SettlementSelected,01353F38,,Settlement,,Fired when the player selects a settlement on the map,""
events - callback lists you may append handlers to,SlotOccupied,013512AC,,Region Slot,,A slot is occupied by an enemy faction,""
events - callback lists you may append handlers to,SlotOpens,013512AC,,"Slot, Region",,A slot has just opened,""
events - callback lists you may append handlers to,SlotRoundStart,013512AC,,"Slot, Region",,The start of round for this slot,""
events - callback lists you may append handlers to,SlotSelected,01353F38,,Slot,,Fired when the player selects a settlement slot on the map,""
events - callback lists you may append handlers to,SlotTurnStart,013512AC,,"Slot, Region",,The start of turn for this slot,""
events - callback lists you may append handlers to,SpyingAttemptSuccess,013512AC,,Character,,An agent has successfully spied on the enemy,""
events - callback lists you may append handlers to,SufferAssassinationAttempt,013512AC,,Character,,A character has suffered an assassination attempt,""
events - callback lists you may append handlers to,SufferSpyingAttempt,013512AC,,Character,,A character has suffered a spying attempt,""
events - callback lists you may append handlers to,TechnologyInfoPanelOpenedCampaign,013929B8,,string,,triggers when the technology info panel is opened by the user in the campaign game,""
events - callback lists you may append handlers to,TestEvent,01351E1C,,model,,Test event,""
events - callback lists you may append handlers to,TimeTrigger,01353338,,"STRING, the id of the time trigger",,A registered timer have waited long,""
events - callback lists you may append handlers to,TooltipAdvice,01367F9C,,string,,triggers when a tooltip cycles though all of it's available lines (only happens at end of first sequence,""
events - callback lists you may append handlers to,TradeRouteEstablished,013512AC,,Faction,,A trade route has been established with this faction,""
events - callback lists you may append handlers to,UICreated,01353F38,,"String (name of the UI), Component (root component of the ui)",,Fires when the UI is first created,""
events - callback lists you may append handlers to,UIDestroyed,01353F38,,String (name of the UI),,Fires when the UI is destroyed,""
events - callback lists you may append handlers to,UngarrisonedFort,01351E1C,,Region slot,,A fort has been left ungarrisoned,""
events - callback lists you may append handlers to,UnitCompletedBattle,013512AC,,Unit,,A unit has completed the battle,""
events - callback lists you may append handlers to,UnitCreated,013512AC,,Unit,,A unit has been created,""
events - callback lists you may append handlers to,UnitSelectedCampaign,01353F38,,Unit (campaign),,Fires when a unit card is selected on the campaign map,""
events - callback lists you may append handlers to,UnitTrained,01351E1C,,Unit,,A unit is trained,""
events - callback lists you may append handlers to,UnitTurnEnd,013512AC,,Unit,,A unit has ended its turn,""
events - callback lists you may append handlers to,VictoryConditionFailed,01353338,,none,,The time limit has ran out for a victory condition,""
events - callback lists you may append handlers to,VictoryConditionMet,01353338,,faction,,Victory condition has been met by the player,""
events - callback lists you may append handlers to,WorldCreated,01353338,,none,,"A game is being started or loaded, at this point the most vital parts pf the game are initialized",""
events - callback lists you may append handlers to,battle_commanding_ship_routs,0131EC08,,Naval Battle,,The ship containing the fleet admiral has just routed,""
events - callback lists you may append handlers to,battle_ship_sunk,0131EC08,,Naval Battle,,Fired off when a ship has sunk,""
effects - the `effect` table; these CHANGE game state,adjust_treasury,008A9770,Guy,,adjust_treasury(12000),Adjusts the treasury by the given amount,amount
effects - the `effect` table; these CHANGE game state,advance_contextual_advice_thread,00461040,Guy,,"advance_contextual_advice_thread(""Character_Agent_Assassin_Early_Advice_Thread"", 4, context)",Directs the advisor to consider issuing advice about the thread,"Advice thread, score increase, context"
effects - the `effect` table; these CHANGE game state,advance_scripted_advice_thread,00E0DF90,Guy,,"advance_scripted_advice_thread(""Character_Agent_Assassin_Early_Advice_Thread"")","Directs the advisor to advance the specified thread by score increase, issuing advice as appropriate","Advice thread, score increase"
effects - the `effect` table; these CHANGE game state,advance_scripted_advice_thread_located,00E0E030,Paul,,"advance_scripted_advice_thread_location(""Character_Agent_Assassin_Early_Advice_Thread"", 1, 10.0f, 301.0f)","Directs the advisor to advance the specified thread by score increase, issuing advice as appropriate with the specified location","Advice thread, score increase, location"
effects - the `effect` table; these CHANGE game state,advice,00E0E0F0,Guy,,"advice(""Click the unit to continue"")",Directs the advisor to display the supplied advice string - please use this for debug only since localisation is bypassed,Advice string
effects - the `effect` table; these CHANGE game state,ancillary,008AAC30,Tom,,"effect.ancillary(""mayor"")",Causes an ancillary to be created and attached to the character,ancillary record key
effects - the `effect` table; these CHANGE game state,historical_character,008C9580,Paul,,"historical_character(""abraham_de_moivre"")",Adds the supplied historical character to the game,Historical character record key
effects - the `effect` table; these CHANGE game state,historical_event,008C97B0,Paul,,"historical_event(""3_colour_printing"")",,Historical event record key
effects - the `effect` table; these CHANGE game state,remove_ancillary,008E9990,Tom,,"effect.remove_ancillary(""mayor"")",Causes an ancillary to be removed from the character,ancillary record key
effects - the `effect` table; these CHANGE game state,remove_trait,008E9F50,Tom,,"remove_trait(""drink"")","Removes the specified trait (all levels), unless character has got passed ""no going back"" level of trait",trait key
effects - the `effect` table; these CHANGE game state,rewind_scripted_advice,00E2A5A0,Guy,,rewind_scripted_advice(),"Resets all the scripted advice threads, such as those in the campaign tutorials, to zero",None
effects - the `effect` table; these CHANGE game state,suspend_contextual_advice,00E2EA40,Guy,,suspend_contextual_advice(true),Prevents contextual advice from being displayed - useful for tutorials,Flag
effects - the `effect` table; these CHANGE game state,trait,008F5070,Tom,,"trait(""drink"", 5, 20)",Possibly adds the points supplied to the trait listed for the given character,"trait key, points to add, chance of adding"
campaign UI commands (the CampaignUI global),AgentCardSelectionChanged,009DCAC0,,,,In: Agent pointer.  Notify the UI that an agent card has been selected so that the selection context can be updated,""
campaign UI commands (the CampaignUI global),AgentEmbarkOrDisembark,009DCB00,,,,,""
campaign UI commands (the CampaignUI global),AgentGentlemanDuel,009DCB90,,,,,""
campaign UI commands (the CampaignUI global),AgentRakeAssassinate,009DCC90,,,,,""
campaign UI commands (the CampaignUI global),AgentRakeSubterfuge,009DCE40,,,,,""
campaign UI commands (the CampaignUI global),AgentRogueSabotageArmy,009DCED0,,,,,""
campaign UI commands (the CampaignUI global),AttachMovieToComponent,009DCFD0,,,,"In: Component to attach to, Path to movie to play",""
campaign UI commands (the CampaignUI global),AttachRadarView,009DD050,,,,In: Component to attach to,""
campaign UI commands (the CampaignUI global),AutoManage,009DD090,,,,,""
campaign UI commands (the CampaignUI global),AvailableCommandersForRecruitment,009DD0C0,,,,,""
campaign UI commands (the CampaignUI global),BattleResultsRefresh,009DD460,,,,Refresh data for the battle results screen,""
campaign UI commands (the CampaignUI global),BattleSetupShip,009DD510,,,,,""
campaign UI commands (the CampaignUI global),BattleSetupShipFromRecord,009DD590,,,,,""
campaign UI commands (the CampaignUI global),BattleSetupUnit,009DD630,,,,,""
campaign UI commands (the CampaignUI global),BattleSetupUnitFromRecord,009DD6B0,,,,,""
campaign UI commands (the CampaignUI global),BeginConstruction,009DD750,,,,Begins construction of a building,""
campaign UI commands (the CampaignUI global),BeginResearch,009DD7C0,,,,Start a university researching a technology,""
campaign UI commands (the CampaignUI global),BeginStealing,009DDA50,,,,Start a character stealing a technology,""
campaign UI commands (the CampaignUI global),BeginUpgrade,009DD750,,,,Begins upgrading of a building,""
campaign UI commands (the CampaignUI global),BuildFort,009DDD00,,,,,""
campaign UI commands (the CampaignUI global),BuildingBrowserDetails,009DDD40,,,,Fills in a building browser details table,""
campaign UI commands (the CampaignUI global),BuildingDetails,009DDD50,,,,initialises a table of details about the building specified,""
campaign UI commands (the CampaignUI global),BuildingEffects,009DE150,,,,Fills in a table with a table list for each effects class,""
campaign UI commands (the CampaignUI global),BuildingPointer,009DF990,,,,,""
campaign UI commands (the CampaignUI global),BuildingRecordDetails,009DFAF0,,,,initialises a table of details about the building specified,""
campaign UI commands (the CampaignUI global),CameraManager,009DFE10,,,,Out: Pointer to the camera manager,""
campaign UI commands (the CampaignUI global),CameraPosition,009DFE50,,,,"Out: x,y,z of current camera position",""
campaign UI commands (the CampaignUI global),CameraTarget,009DFEC0,,,,"Out: x, y, z of current cameras target, y (height) is the zoom level",""
campaign UI commands (the CampaignUI global),CameraView,009DFFD0,,,,Out: Bounding box of camera current view,""
campaign UI commands (the CampaignUI global),CampaignIsEpisodic,009E0570,,,,Out: Returns true if the current played cmapign is an episodic,""
campaign UI commands (the CampaignUI global),CampaignKey,009E05E0,,,,Out: Return the database key for the current campaign,""
campaign UI commands (the CampaignUI global),CampaignModel,009E0640,,,,Out: Pointer to the campaign model,""
campaign UI commands (the CampaignUI global),CanAgentEmbarkOrDisembark,009E0680,,,,,""
campaign UI commands (the CampaignUI global),CanArmyEmbarkOrDisembark,009E07B0,,,,,""
campaign UI commands (the CampaignUI global),CanDemolishBuilding,009E0930,,,,,""
campaign UI commands (the CampaignUI global),CanDemoteUnit,009E0990,,,,,""
campaign UI commands (the CampaignUI global),CanDisbandUnit,009E09F0,,,,,""
campaign UI commands (the CampaignUI global),CanEndTurn,009E0A40,,,,Can the player end the turn at this time?,""
campaign UI commands (the CampaignUI global),CanHostDropin,009E0A90,,,,Out: False if you cannot host a dropin battles (i.e. if Steam is running in offline mode),""
campaign UI commands (the CampaignUI global),CanPromoteUnit,009E0AF0,,,,,""
campaign UI commands (the CampaignUI global),CanRecruitCommander,009E0B40,,,,,""
campaign UI commands (the CampaignUI global),CanResearch,009E0BE0,,,,Can a university research this tech,""
campaign UI commands (the CampaignUI global),CanSackMinister,009E0D10,,,,,""
campaign UI commands (the CampaignUI global),CanSave,009E0D50,,,,Out: boolean flag to say if it is possible to save the campaign at this point,""
campaign UI commands (the CampaignUI global),CanSteal,009E0D90,,,,Can a character steal some tech,""
campaign UI commands (the CampaignUI global),CanUnitsMerge,009E0E90,,,,"In: 2 unit pointers.  Out:  True if 2nd unit can merge into first, false if not",""
campaign UI commands (the CampaignUI global),CancelConstruction,009E0F10,,,,Cancels construction of a building,""
campaign UI commands (the CampaignUI global),CancelFortRepair,009E0F80,,,,Cancels repairing of a fort!,""
campaign UI commands (the CampaignUI global),CancelOrderForSelectedCharacter,009E1010,,,,the currently selected character has it's order cancelled,""
campaign UI commands (the CampaignUI global),CancelRecruitment,009E1090,,,,Removes a siege equipment item from the queue in the specified slot,""
campaign UI commands (the CampaignUI global),CancelResearch,009E10D0,,,,Stop a university researching a technology,""
campaign UI commands (the CampaignUI global),CancelSiegeEquipment,009E1170,,,,Removes a recruited unit from the recruitment queue in the specified slot,""
campaign UI commands (the CampaignUI global),CancelStealing,009E11B0,,,,Stop a character stealing a technology,""
campaign UI commands (the CampaignUI global),CancelUpgradeFort,009E1240,,,,,""
campaign UI commands (the CampaignUI global),ChanceToSteal,009E1280,,,,Returns the chance to steal a technology,""
campaign UI commands (the CampaignUI global),ChangeAdviceAudioMode,009E13F0,,,,Repeat the current advice on the c++ side,""
campaign UI commands (the CampaignUI global),ChangeAdviceTextMode,009E1430,,,,Repeat the current advice on the c++ side,""
campaign UI commands (the CampaignUI global),ChangeIngameOptions,009E1470,,,,Current game options will be read from preferences and sent to the game,""
campaign UI commands (the CampaignUI global),CharacterInEnemyResidence,009E1680,,,,,""
campaign UI commands (the CampaignUI global),CharacterInValidEnemyUniversity,009E1700,,,,,""
campaign UI commands (the CampaignUI global),CharacterPointer,009E17C0,,,,,""
campaign UI commands (the CampaignUI global),CharacterResidence,009E1820,,,,,""
campaign UI commands (the CampaignUI global),CharacterSelectionChangeWithinGarrison,009E1870,,,,Uses a unit from the army or navy tab to set the selection contexts character,""
campaign UI commands (the CampaignUI global),CharacterSelectionClearWithinGarrison,009E18F0,,,,Resets the select context back to the garrison type only,""
campaign UI commands (the CampaignUI global),CharactersRelationshipToPlayersFaction,009E1900,,,,,""
campaign UI commands (the CampaignUI global),ClearSecondarySelectionContext,009E19A0,,,,"Clears any secondary selection context based on the primary selection context. Eg. Clears agents for characters, clears characters for slots.",""
campaign UI commands (the CampaignUI global),ClosestRegionToCamera,009E19B0,,,,Returns the closest region to the camera in the list,""
campaign UI commands (the CampaignUI global),ClosestSlotToCamera,009E1B30,,,,Returns the closest slot to the camera in the list,""
campaign UI commands (the CampaignUI global),ConstructBuildingTree,009E1CB0,,,,,""
campaign UI commands (the CampaignUI global),ContinueGameSelected,009E1D20,,,,Player chose to continue the game when presented with the Continue Game/End Game dialog after victory conditions achieved,""
campaign UI commands (the CampaignUI global),CurrentFactionIsHuman,009E1D90,,,,Returns whether the faction whose turn it is is controlled by a human or not,""
campaign UI commands (the CampaignUI global),CurrentGameOptions,009E1DD0,,,,Out: Table of options as set in the players setup,""
campaign UI commands (the CampaignUI global),CurrentSeasonString,009E1F70,,,,Returns the current season name in string!,""
campaign UI commands (the CampaignUI global),CurrentTurn,009E1FE0,,,,Out: Reports the current turn number,""
campaign UI commands (the CampaignUI global),CurrentYear,009E2010,,,,Returns the current year for the grand campaign or the turn number for episodics,""
campaign UI commands (the CampaignUI global),DebugMessage,00461180,,,,In: msg to show (debug only),""
campaign UI commands (the CampaignUI global),DebugViewLuaComponentPtr,009E2070,,,,Passes a component point out to C so we can view it in debug,""
campaign UI commands (the CampaignUI global),DeclareWarInstant,009E2090,,,,"Instantly declare war without going through diplomatic process.  Takes two faction keys, faction A will declare war on faction B.  No responses will be given",""
campaign UI commands (the CampaignUI global),DeclineSidingWithAlly,009E21D0,,,,In: (Opt) Faction key of ally they aren't siding with. Local player declines a request to side with the ally.  If faction isn't present then declines both allies,""
campaign UI commands (the CampaignUI global),DefaultSaveName,009E22C0,,,,Out: String containing the default save game name for this campaign,""
campaign UI commands (the CampaignUI global),DefaultSaveNameMP,009E2320,,,,Out: String containing the default MP save game name for this campaign,""
campaign UI commands (the CampaignUI global),DemolishBuilding,009E2380,,,,Demolishes the selected building,""
campaign UI commands (the CampaignUI global),DemolishFort,009E23D0,,,,,""
campaign UI commands (the CampaignUI global),DemoteAdmiral,009E2410,,,,,""
campaign UI commands (the CampaignUI global),DisbandUnit,009E2450,,,,Disbands the specified unit,""
campaign UI commands (the CampaignUI global),DismissAdvice,009E2490,,,,Dismiss the current advice.,""
campaign UI commands (the CampaignUI global),DismissCurrentAdvice,009E24B0,,,,Dismisses the current advice on the c++ side,""
campaign UI commands (the CampaignUI global),DisplayingTurns,009E24D0,,,,Out: Returns true if the current campaigns date should be displayed as turns,""
campaign UI commands (the CampaignUI global),DropInInterface,009E2510,,,,Out: Pointer to a dropin interface to be passed to UIMPInterface object,""
campaign UI commands (the CampaignUI global),EnableShortcutHandler,009E2550,,,,In: true/false to enable/disable all keyboard shortcuts,""
