namespace,name,func,author,scope,usage,description,parameters
conditions - queries you may call from campaign script,FactionTaxLevel,0089FF20,Paul,,"FactionTaxLevel(""lower_classes"") < TaxLevel(""extortionate"")",Returns the average tax level for the faction,"""lower_classes"" or ""upper_classes"""
conditions - queries you may call from campaign script,FactionTechExists,008A00B0,Paul K,,"FactionTechExists(""britain"", ""enlightenment_abolition_of_slavery"")",Does the specified faction have the specified technology,Parameter 1: A valid key from the factions table.  Parameter 2: A valid key from the technologies table.
conditions - queries you may call from campaign script,FactionTradeCommodityExists,008A01F0,Paul,,"FactionTradeCommodityExists(""res_gold"")",Returns whether the faction has access to the trade resource,Valid entry from 'key' field from resources table in Empire.mdb
conditions - queries you may call from campaign script,FactionTradeValue,008A0630,Paul,,FactionTradeValue() > 1000,Returns the absolute value of the factions global trade,none
conditions - queries you may call from campaign script,FactionTradeValuePercentage,008A0450,Paul,,FactionTradeValuePercentage() > 25,Returns the percentage value of global trade owned by the faction,none
conditions - queries you may call from campaign script,FactionTreasury,008A0860,Paul,,FactionTreasury() > 100,Returns the factions treasury value,none
conditions - queries you may call from campaign script,FactionTreasuryWorldPercentage,008A0750,Paul,,FactionTreasuryWorldPercentage() > 10,Returns the characters factions treasury value as a percentage of the sum of all factions treasury values,none
conditions - queries you may call from campaign script,FactionWarWeariness,008A08D0,Luke,,FactionWarWeariness(),Does this faction have war weariness?,""
conditions - queries you may call from campaign script,FactionwideAncillaryTypeExists,008A0940,Tom,,"FactionwideAncillaryTypeExists(""unkillable_cat"") == true",Returns whether the named ancillary exists in the faction somewhere,Ancillary name
conditions - queries you may call from campaign script,FortBuildingQueueIdleDespiteCash,008A0A40,Ed,,FortBuildingQueueIdleDespiteCash(),Is the fort's building queue empty even though the faction can afford to build the cheapest building?,none
conditions - queries you may call from campaign script,FortIsLocal,008A0AF0,Luke,,FortIsLocal(),Does the fort belong to the player faction?,none
conditions - queries you may call from campaign script,FortName,008A0B70,Ting,,"FortName(""Fort Duquesne"")",Returns if the passed fort name is equal to the fort's name,The name of the fort to check for
conditions - queries you may call from campaign script,GovernorTaxLevel,008A0C30,Tom,,"GovernorTaxLevel(""upper"") >= 90",If the character is the governor returns the tax level set for the specified active class of that governorship.  Returns -1 if not.,none
conditions - queries you may call from campaign script,GovernorshipEquals,008A0D30,Ed,,"GovernorshipEquals(""europe"")",Does the context's governorship key match the parameter,Key of the governorship to be queried 
conditions - queries you may call from campaign script,GovernorshipTaxLevel,008A0DF0,Paul,,"GovernorshipTaxLevel(""europe"")",Returns the governorships tax level,Valid entry from 'governorship' field from governorships table in Empire.mdb
conditions - queries you may call from campaign script,HasUnspecialisedPort,008A0F20,Paul,,HasUnspecialisedPort(),Does the region have a port with no building?,none
conditions - queries you may call from campaign script,InPort,008A0FC0,Ed,,InPort(),Is the character in a port?,none
conditions - queries you may call from campaign script,InSettlement,008A1030,Tom,,InSettlement(),Checks that a character is in a settlement,none
conditions - queries you may call from campaign script,InsurrectionCrushed,008A1070,Luke,,InsurrectionCrushed(),Has the characters faction put down a rebellion in this turn (or the turn that is just ending),none
conditions - queries you may call from campaign script,IsBesieging,008A10E0,Ed,,IsBesieging(),Is the character besieging?,none
conditions - queries you may call from campaign script,IsBlockading,008A1150,Ed,,IsBlockading(),Is the character blockading?,none
conditions - queries you may call from campaign script,IsBuildingInChain,008A11C0,Ed,,"IsBuildingInChain(""army-admin"")","Is garrison residence's building (all slots, road and fortifications for settlements) in the building chain specified by the parameter?",The key of the building chain you are querying from the building_chains table
conditions - queries you may call from campaign script,IsBuildingOfType,008A1410,Ed,,"IsBuildingOfType(""admiralty"")","Is garrison residence's building type (all slots, road and fortifications for settlements) equal to the parameter?",The key of the building level you are querying from the building_levels table
conditions - queries you may call from campaign script,IsCarryingTroops,008A1680,Ed,,IsCarryingTroops(),Is the character transporting an army?,none
conditions - queries you may call from campaign script,IsChildOf,00DA9680,tom,,"IsChildOf(""tax_slider"")","Returns true if the components parent, (or parent's parent, or parent's parent's parent etc) has the id specified ",Component id
conditions - queries you may call from campaign script,IsColony,008A1710,Ed,,IsColony(),Is the region a colony,none
conditions - queries you may call from campaign script,IsComponentType,00DA9750,tom,,"IsComponentType(""government_screens"")",Returns true if the event was fired by the component named,Component id
conditions - queries you may call from campaign script,IsFactionBesiegingSettlement,008A17B0,Ed,,"IsFactionBesiegingSettlement(""settlement:region:settlement_id"")",Is the context faction besieging the specified settlement? Intended for use with faction start of turn event.,Settlement key
conditions - queries you may call from campaign script,IsFactionLeader,008A1940,Luke,,IsFactionLeader(),Is this character the faction leader?,none
conditions - queries you may call from campaign script,IsFactionLeaderFemale,008A18A0,Luke,,IsFactionLeaderFemale(),Is this character the faction leader and are they female? (Queen),none
conditions - queries you may call from campaign script,IsGarrisoned,008A19F0,Ed,,IsGarrisoned(),Is garrison residence garrisoned?,none
conditions - queries you may call from campaign script,IsGuerrillaGeneral,008A1A60,Paul,,IsGuerrillaGeneral(),Tests whether the character is a guerilla general,None
conditions - queries you may call from campaign script,IsHomeRegion,008A1B20,Ed,,IsHomeRegion(),Is this region the home region of the owning faction,none
conditions - queries you may call from campaign script,IsMessageType,00DA9750,tom,,"IsMessageType(""unit_routs_in_battle"")",Returns true if the event that triggered the condition check was for the message named,Message id
conditions - queries you may call from campaign script,IsMultiplayer,008A1BA0,Ting,,IsMultiplayer(),Returns true when in multiplayer campaign,None
conditions - queries you may call from campaign script,IsPlayerTurn,008A1C10,Luke,,IsPlayerTurn(),Is this the players turn?,None
conditions - queries you may call from campaign script,IsPortGarrisoned,008A1CA0,Ed,,IsPortGarrisoned(),Is the port garrisoned by a navy?,none
